GiaMoCua,KhoiLuong,BienDong,ChiSoRSI,TangGia
43.7,10072.0,1.68,60.4,0
95.6,27553.0,1.61,67.8,0
75.9,43774.0,4.58,35.0,1
63.9,36879.0,1.62,57.5,1
24.0,40521.0,1.72,54.3,1
24.0,33280.0,3.92,70.0,0
15.2,34922.0,2.52,74.4,0
88.0,42611.0,4.0,20.7,1
64.1,13234.0,0.79,60.4,0
73.7,24982.0,2.69,23.1,1
11.9,11839.0,0.65,52.9,1
97.3,49396.0,0.78,37.3,1
84.9,47259.0,4.58,38.4,1
29.1,2932.0,1.13,41.2,1
26.4,35573.0,2.9,57.3,0
26.5,46337.0,2.35,40.0,1
37.4,9848.0,2.06,64.0,0
57.2,28829.0,4.55,44.3,0
48.9,45859.0,0.6,24.1,1
36.2,2663.0,3.49,67.0,0
65.1,35174.0,4.84,37.1,1
22.6,15570.0,3.02,46.0,1
36.3,46295.0,4.72,61.1,0
43.0,48582.0,0.74,39.9,1
51.0,47269.0,2.38,23.4,1
80.7,24236.0,1.67,42.4,1
28.0,43240.0,3.79,76.7,0
56.3,42383.0,4.92,58.5,1
63.3,16636.0,1.65,60.3,0
14.2,41617.0,3.44,57.9,1
64.7,2813.0,1.39,31.9,1
25.3,30217.0,3.04,45.1,1
15.9,12270.0,2.59,65.1,1
95.4,6908.0,4.87,26.1,0
96.9,4771.0,3.24,36.7,1
82.8,35118.0,2.07,36.6,0
37.4,17654.0,1.01,45.9,0
18.8,36514.0,1.18,78.8,0
71.6,4202.0,1.51,24.1,1
49.6,16449.0,1.63,51.1,1
21.0,27435.0,4.33,30.8,1
54.6,39745.0,3.03,78.2,0
13.1,16619.0,2.86,26.8,1
91.8,31669.0,1.02,44.2,1
33.3,44413.0,4.37,64.3,1
69.6,31177.0,3.75,62.3,0
38.1,12415.0,0.8,45.4,1
56.8,2196.0,3.69,40.8,1
59.2,43635.0,2.95,43.9,1
26.6,2042.0,0.87,35.9,1
97.3,43860.0,2.56,32.3,1
79.8,26918.0,2.68,49.0,1
94.6,47014.0,1.25,36.1,1
90.5,40140.0,4.76,37.2,1
63.8,49899.0,4.32,59.4,0
93.0,18185.0,3.51,78.1,1
18.0,38592.0,2.58,56.2,0
27.6,20695.0,2.35,24.6,1
14.1,24514.0,3.43,24.5,1
39.3,31748.0,2.95,77.1,0
45.0,43810.0,0.78,37.8,1
34.4,49220.0,2.81,25.5,1
84.6,38645.0,4.13,55.9,0
42.1,21471.0,2.57,57.4,1
35.3,21646.0,0.73,58.9,0
58.8,37142.0,4.04,36.0,1
22.7,12700.0,1.41,20.9,1
82.2,6413.0,1.66,77.9,0
16.7,18376.0,1.24,35.1,1
98.8,15075.0,1.99,60.6,0
79.5,15519.0,3.91,62.4,0
27.9,12447.0,2.84,56.6,0
10.5,3063.0,1.42,38.8,1
83.4,1876.0,4.45,36.3,1
73.6,49398.0,4.46,55.9,1
75.6,21961.0,4.42,72.0,0
79.4,19832.0,1.57,76.8,0
16.7,34303.0,2.53,26.4,1
42.3,11694.0,4.93,29.3,1
20.4,47548.0,3.97,76.7,1
87.7,39531.0,0.62,64.2,0
66.1,5381.0,0.79,73.0,0
39.8,21461.0,2.59,32.2,1
15.7,44077.0,4.59,55.3,0
38.0,47292.0,2.92,62.1,1
39.3,23903.0,2.74,60.8,1
75.7,31057.0,0.97,44.5,1
67.4,9185.0,3.46,20.9,1
89.8,49567.0,4.2,55.0,0
52.5,12352.0,2.21,35.2,1
20.8,47194.0,3.99,47.0,1
74.2,32833.0,4.84,77.5,0
78.5,30779.0,1.42,43.9,1
60.5,26122.0,2.85,70.4,0
79.4,12303.0,1.79,31.3,1
54.4,9650.0,4.07,60.3,0
57.0,11804.0,3.1,78.6,1
48.5,10135.0,3.36,26.1,1
12.3,39200.0,4.09,20.5,1
19.7,18156.0,2.28,46.0,1
12.8,3834.0,4.62,25.6,1
67.3,48486.0,2.9,64.9,1
38.3,44306.0,1.21,74.9,0
55.8,46460.0,3.63,46.0,1
91.7,49750.0,4.07,35.5,1
32.4,9521.0,1.93,46.1,0
46.9,20416.0,4.36,63.4,0
